temperature,pressure,wind_speed,wind_direction,Power generated by system | (kW)
10.926,0.979103,9.014,229,33688.1
9.919,0.979566,9.428,232,37261.9
8.567,0.979937,8.7,236,30502.9
7.877,0.980053,8.481,247,28419.2
7.259,0.979867,8.383,256,27370.3
6.57,0.979884,8.256,261,25805.9
5.897,0.980318,6.476,265,11546.8
5.109,0.980597,5.906,271,8360.76
4.413,0.980711,5.557,269,6426.64
3.754,0.980902,6.081,273,9349.45
3.169,0.981166,7.384,278,18613.6
2.637,0.981347,9.072,293,35381.1
1.948,0.981703,7.142,295,17331.5
2.296,0.982196,7.451,299,19872.3
4.042,0.982576,5.764,289,8190.46
5.504,0.982961,5.887,287,8731.8
6.217,0.983083,5.866,285,8578.77
6.74,0.983409,6.266,287,11030
7.25,0.983824,6.278,291,11088.4
7.579,0.984266,6.311,293,11220.2
7.612,0.984686,6.864,301,14693.1
7.139,0.985268,6.904,306,15064.7
5.44,0.986055,7.024,315,16247.5
4.506,0.986852,9.013,319,34740
3.621,0.987624,9.166,329,35393.6
2.707,0.988206,9.128,339,35278.4
2.043,0.988741,9.849,348,43582.8
1.268,0.988973,9.738,358,42341.5
0.357,0.989072,9.544,6,40346.7
-0.702,0.989481,9.712,14,42258.8
-0.28,0.989868,10.046,19,45569.9
-0.126,0.990032,9.75,21,41616.2
-0.215,0.990204,9.874,22,42978.3
-0.281,0.990265,9.755,25,41306.6
-0.478,0.990621,9.614,29,39903.5
-0.631,0.990962,9.616,34,40564.3
-0.747,0.991278,9.817,34,42862.8
0.001,0.991638,9.215,37,37064.6
2.156,0.991861,6.991,37,16051.8
3.901,0.991989,5.11,40,4926.84
5.578,0.991843,3.946,49,1303.4
7.039,0.991669,3.04,53,0
8.243,0.991462,2.38,52,0
9.203,0.991194,2.068,51,0
9.808,0.990899,1.886,47,0
9.349,0.990634,2.426,18,0
5.977,0.990709,3.412,24,0
4.652,0.990939,3.803,53,995.606
3.956,0.99108,4.11,71,1661.72
3.119,0.991185,4.612,105,3060.72
2.503,0.991121,6.282,123,11354.7
1.743,0.990967,6.774,129,14369.1
1.087,0.990807,7.591,126,21278.5
0.724,0.990834,8.96,130,34753.3
1.144,0.991063,10.019,132,45895.2
1.868,0.991178,8.921,138,34225.7
1.606,0.99126,8.569,140,30257.5
1.283,0.991386,8.345,142,28058.2
1.081,0.991667,7.838,141,23292.9
1.068,0.991865,8.433,138,29065.4
1.056,0.992048,8.896,136,34109.2
1.937,0.992169,8.901,134,34052.8
4.047,0.992188,7.182,129,17701.6
6.377,0.991966,5.034,125,4538.84
8.406,0.991383,4.62,128,3026.51
9.954,0.990889,4.318,137,2193.34
11.128,0.99037,3.949,145,1265.36
12.128,0.989766,4.602,162,2906.09
12.364,0.989237,4.91,165,3953.08
